State,City,Average Salary in Each State,Cost of Living,Median Gross Rent,Salary vs Cost of Living and Rent,Employment Per 1000 Jobs
Arizona,Phoenix,76613.18,64546.560000000005,13200,-1133.3800000000047,0.727
California,Los Angeles,93156.61,92475.36,18276,-17594.75,0.857
Illinois,Chicago,83051.59,76338.72,13848,-7135.130000000005,0.527
New York,New York City,87532.37,158263.19999999998,17868,-88598.82999999999,1.421
Texas,Houston,75505.77,58340.159999999996,13032,4133.610000000001,0.717
