State,City,Average Salary in Each State,Cost of Living,Median Gross Rent,Salary vs Cost of Living and Rent,Employment Per 1000 Jobs
Utah,Salt Lake City,84613.85,63305.28,12600,8708.570000000007,2.18
Connecticut,Bridgeport,97654.63,62064,14052,21538.630000000005,1.663
New Jersey,Newark,102116.36,76959.36,13392,11765,1.421
Maryland,Baltimore,91222.13,66408.48000000001,13128,11685.649999999994,1.272
Delaware,Wilmington,82987.56,68891.04000000001,12360,1736.5199999999895,1.031
