State,City,Average Salary in Each State,Cost of Living,Median Gross Rent,Salary vs Cost of Living and Rent,Employment Per 1000 Jobs
New Jersey,Newark,102116.36,76959.36,13392,11765,1.421
Connecticut,Bridgeport,97654.63,62064,14052,21538.630000000005,1.663
New Hampshire,Manchester,92510.96,68270.40000000001,13920,10320.559999999998,0.759
Maryland,Baltimore,91222.13,66408.48000000001,13128,11685.649999999994,1.272
Virginia,Virginia Beach,89404.37,68270.40000000001,16560,4573.969999999987,0.395
